id	swave	emp	tage	initage	nvals
2914	2	1	29	28	0
2914	3	1	29	28	0
2914	4	1	29	28	0
2914	5	1	30	28	0
2914	6	1	30	28	0
2949	0	1	28	28	1
2949	1	1	28	28	0
2949	2	1	29	28	0
2949	3	1	29	28	0
2949	4	1	29	28	0
2949	5	1	30	28	0
2949	6	1	30	28	0
2984	0	1	34	34	1
2984	1	1	35	34	0
2984	2	1	35	34	0
2984	3	1	35	34	0
2984	4	1	36	34	0
2984	5	1	36	34	0
2984	6	1	36	34	0
2988	0	0	35	35	1
2988	1	1	36	35	0
2988	2	1	36	35	0
2988	3	1	36	35	0
2988	4	1	37	35	0
2988	5	1	37	35	0
2988	6	1	37	35	0
3011	0	1	27	27	1
3011	1	1	27	27	0
3011	2	1	28	27	0
3011	3	1	28	27	0
3011	4	1	28	27	0
3011	5	1	29	27	0
3011	6	1	29	27	0
3017	0	1	35	35	1
3017	1	1	43	35	0
3017	2	1	44	35	0
3017	3	1	44	35	0
3017	4	1	44	35	0
3017	5	1	42	35	0
3017	6	1	44	35	0
3105	0	1	27	27	1
3105	1	1	27	27	0
3105	2	1	28	27	0
3105	3	1	28	27	0
3105	4	1	28	27	0
3105	5	1	29	27	0
3105	6	1	29	27	0
3173	0	0	32	32	1
3173	1	0	32	32	0
3173	2	1	32	32	0
3173	3	1	33	32	0
3173	4	1	33	32	0
3173	5	1	33	32	0
3173	6	1	34	32	0
3182	0	1	26	26	1
3182	1	1	26	26	0
3182	2	1	27	26	0
3182	3	1	27	26	0
3182	4	1	27	26	0
3182	5	1	28	26	0
3182	6	1	28	26	0
3188	0	1	24	24	1
3188	1	0	25	24	0
3188	2	1	25	24	0
3188	3	1	25	24	0
3188	4	1	26	24	0
3188	5	1	26	24	0
3188	6	1	26	24	0
3233	0	1	40	40	1
3233	1	1	40	40	0
3233	2	1	41	40	0
3233	3	1	41	40	0
3233	4	1	41	40	0
3233	5	1	42	40	0
3233	6	1	42	40	0
3295	0	1	30	30	1
3295	1	1	30	30	0
3295	2	1	30	30	0
3295	3	1	31	30	0
3295	4	1	31	30	0
3295	5	1	31	30	0
3295	6	1	32	30	0
3302	0	1	35	35	1
3302	1	1	36	35	0
3302	2	1	36	35	0
3302	3	1	36	35	0
3302	4	1	37	35	0
3302	5	1	37	35	0
3302	6	1	37	35	0
3337	0	1	40	40	1
3337	1	1	40	40	0
3337	2	1	40	40	0
3337	3	1	41	40	0
3337	4	1	41	40	0
3337	5	1	41	40	0
3337	6	1	42	40	0
3350	0	1	34	34	1
3350	1	1	34	34	0
3350	2	1	35	34	0
3350	3	1	35	34	0
3350	4	1	35	34	0
3350	5	1	36	34	0
3350	6	1	36	34	0
3447	0	1	31	31	1
3447	1	1	31	31	0
3447	2	1	31	31	0
3447	3	1	32	31	0
3447	4	1	32	31	0
3447	5	1	32	31	0
3447	6	1	33	31	0
3501	0	1	36	36	1
3501	1	1	36	36	0
3501	2	1	37	36	0
