id	swave	emp	tage	initage	nvals
1540	5	1	37	35	0
1540	6	1	37	35	0
1580	0	1	50	50	1
1580	1	1	51	50	0
1580	2	1	51	50	0
1580	3	1	51	50	0
1580	4	0	52	50	0
1580	5	0	52	50	0
1580	6	0	52	50	0
1628	0	1	46	46	1
1628	1	1	46	46	0
1628	2	1	47	46	0
1628	3	1	47	46	0
1628	4	1	47	46	0
1628	5	1	48	46	0
1628	6	1	48	46	0
1654	0	1	51	51	1
1654	1	1	51	51	0
1654	2	1	51	51	0
1654	3	1	52	51	0
1654	4	1	52	51	0
1654	5	1	52	51	0
1654	6	1	53	51	0
1665	0	1	45	45	1
1665	1	1	45	45	0
1665	2	1	46	45	0
1665	3	1	46	45	0
1665	4	1	46	45	0
1665	5	1	47	45	0
1665	6	1	47	45	0
1740	0	1	55	55	1
1740	1	1	56	55	0
1740	2	1	56	55	0
1740	3	1	56	55	0
1740	4	1	57	55	0
1740	5	1	57	55	0
1740	6	1	57	55	0
1759	0	1	33	33	1
1759	1	1	33	33	0
1759	2	1	33	33	0
1759	3	1	34	33	0
1759	4	0	34	33	0
1759	5	1	34	33	0
1759	6	1	35	33	0
1771	0	1	30	30	1
1771	1	1	31	30	0
1771	2	1	31	30	0
1771	3	1	31	30	0
1771	4	1	32	30	0
1771	5	1	32	30	0
1771	6	1	32	30	0
1789	0	1	50	50	1
1789	1	1	50	50	0
1789	2	1	50	50	0
1789	3	1	51	50	0
1789	4	1	51	50	0
1789	5	1	51	50	0
1789	6	1	52	50	0
1831	0	1	51	51	1
1831	1	1	51	51	0
1831	2	1	51	51	0
1831	3	1	52	51	0
1831	4	1	52	51	0
1831	5	1	52	51	0
1831	6	1	53	51	0
1853	0	1	28	28	1
1853	1	1	29	28	0
1853	2	1	29	28	0
1853	3	1	29	28	0
1853	4	1	30	28	0
1853	5	1	30	28	0
1853	6	1	30	28	0
1871	0	1	35	35	1
1871	1	1	36	35	0
1871	2	1	36	35	0
1871	3	1	36	35	0
1871	4	1	37	35	0
1871	5	1	37	35	0
1871	6	1	37	35	0
1876	0	1	51	51	1
1876	1	1	51	51	0
1876	2	1	52	51	0
1876	3	1	52	51	0
1876	4	1	52	51	0
1876	5	1	53	51	0
1876	6	1	53	51	0
1883	0	1	44	44	1
1883	1	1	45	44	0
1883	2	1	45	44	0
1883	3	1	45	44	0
1883	4	1	46	44	0
